step,method,race,yacht,rmse_m
2,Линейная,2025-09-28_10-31,2025-09-28_10:31,5.555880436579865
2,Линейная,2025-10-04_10-17,2025-10-04_10:17,5.4265037723857565
2,Линейная,2025-10-05_10-20,2025-10-05_10:20,4.751393940319364
2,Линейная,2025-10-12_10-46,2025-10-12_10:46,4.594703126979069
2,Линейная,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,0.8875583848959923
2,Линейная,hamburg-elbe-alex,Hamburg_Segeln,0.8130737082376701
2,Линейная,hamburg-elbe-richard,Hamburg_Segeln,1.079645646977239
2,Линейная,hamburg-elbe-track2,Hamburg_Sailing,1.3153159774493488
2,Линейная,hamburg-elbe-track3,Hamburg_Segeln,0.7651447110216991
2,Линейная,ottawa-2016-05-25,0,3.0327796959469806
2,Линейная,ottawa-2016-06-05,0,2.824729842903297
2,Линейная,ottawa-2016-08-24,0,2.8023966715386397
2,Лагранж,2025-09-28_10-31,2025-09-28_10:31,891.5883513965191
2,Лагранж,2025-10-04_10-17,2025-10-04_10:17,4.11196373418963
2,Лагранж,2025-10-05_10-20,2025-10-05_10:20,22.79943607698464
2,Лагранж,2025-10-12_10-46,2025-10-12_10:46,3.35749224712291
2,Лагранж,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,1.0377083895654426
2,Лагранж,hamburg-elbe-alex,Hamburg_Segeln,1.1971708196010304
2,Лагранж,hamburg-elbe-richard,Hamburg_Segeln,1.5718534014580947
2,Лагранж,hamburg-elbe-track2,Hamburg_Sailing,2.408967298686244
2,Лагранж,hamburg-elbe-track3,Hamburg_Segeln,4.155615188824265
2,Лагранж,ottawa-2016-05-25,0,14.93360691429659
2,Лагранж,ottawa-2016-06-05,0,2085839.044901425
2,Лагранж,ottawa-2016-08-24,0,7.572804862280973
2,Кубический сплайн,2025-09-28_10-31,2025-09-28_10:31,4.2184480145374845
2,Кубический сплайн,2025-10-04_10-17,2025-10-04_10:17,3.9531846325528672
2,Кубический сплайн,2025-10-05_10-20,2025-10-05_10:20,3.4576825596454728
2,Кубический сплайн,2025-10-12_10-46,2025-10-12_10:46,3.2838861845234386
2,Кубический сплайн,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,0.7469595179007131
2,Кубический сплайн,hamburg-elbe-alex,Hamburg_Segeln,0.7280511951793202
2,Кубический сплайн,hamburg-elbe-richard,Hamburg_Segeln,0.9276152591004175
2,Кубический сплайн,hamburg-elbe-track2,Hamburg_Sailing,1.1105100569157664
2,Кубический сплайн,hamburg-elbe-track3,Hamburg_Segeln,0.8556242922843493
2,Кубический сплайн,ottawa-2016-05-25,0,2.2924668014689598
2,Кубический сплайн,ottawa-2016-06-05,0,1.8921296946860082
2,Кубический сплайн,ottawa-2016-08-24,0,2.1648305080413976
2,B-сплайн,2025-09-28_10-31,2025-09-28_10:31,4.225654240734425
2,B-сплайн,2025-10-04_10-17,2025-10-04_10:17,3.9531834325466138
2,B-сплайн,2025-10-05_10-20,2025-10-05_10:20,3.4577210786990706
2,B-сплайн,2025-10-12_10-46,2025-10-12_10:46,3.2836665892082655
2,B-сплайн,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,0.7470021668819813
2,B-сплайн,hamburg-elbe-alex,Hamburg_Segeln,0.7283835478344596
2,B-сплайн,hamburg-elbe-richard,Hamburg_Segeln,0.9300458992592575
2,B-сплайн,hamburg-elbe-track2,Hamburg_Sailing,1.1305968237955515
2,B-сплайн,hamburg-elbe-track3,Hamburg_Segeln,0.8564812103870006
2,B-сплайн,ottawa-2016-05-25,0,2.2924729592578457
2,B-сплайн,ottawa-2016-06-05,0,2.4214713036867437
2,B-сплайн,ottawa-2016-08-24,0,2.164952134760638
2,Motion-aware,2025-09-28_10-31,2025-09-28_10:31,4.436007609341314
2,Motion-aware,2025-10-04_10-17,2025-10-04_10:17,4.222527436325292
2,Motion-aware,2025-10-05_10-20,2025-10-05_10:20,3.6098244854118393
2,Motion-aware,2025-10-12_10-46,2025-10-12_10:46,3.4312012259057436
2,Motion-aware,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,0.7695656208858861
2,Motion-aware,hamburg-elbe-alex,Hamburg_Segeln,0.7213557874056193
2,Motion-aware,hamburg-elbe-richard,Hamburg_Segeln,0.923883322923723
2,Motion-aware,hamburg-elbe-track2,Hamburg_Sailing,1.032559653246154
2,Motion-aware,hamburg-elbe-track3,Hamburg_Segeln,0.7087620110290735
2,Motion-aware,ottawa-2016-05-25,0,2.203396526738206
2,Motion-aware,ottawa-2016-06-05,0,2.3727162650465172
2,Motion-aware,ottawa-2016-08-24,0,2.1555132435738686
3,Линейная,2025-09-28_10-31,2025-09-28_10:31,9.847943517800122
3,Линейная,2025-10-04_10-17,2025-10-04_10:17,8.563931401726178
3,Линейная,2025-10-05_10-20,2025-10-05_10:20,7.569066748262249
3,Линейная,2025-10-12_10-46,2025-10-12_10:46,7.630675419489376
3,Линейная,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,1.3516518933195827
3,Линейная,hamburg-elbe-alex,Hamburg_Segeln,1.2792670571757174
3,Линейная,hamburg-elbe-richard,Hamburg_Segeln,1.6744054604050562
3,Линейная,hamburg-elbe-track2,Hamburg_Sailing,2.3511348824806997
3,Линейная,hamburg-elbe-track3,Hamburg_Segeln,1.117520509626136
3,Линейная,ottawa-2016-05-25,0,5.509198521645233
3,Линейная,ottawa-2016-06-05,0,4.611170289812809
3,Линейная,ottawa-2016-08-24,0,4.7702239094515875
3,Лагранж,2025-09-28_10-31,2025-09-28_10:31,790.4078954200901
3,Лагранж,2025-10-04_10-17,2025-10-04_10:17,17.380730395882622
3,Лагранж,2025-10-05_10-20,2025-10-05_10:20,384.23674915827013
3,Лагранж,2025-10-12_10-46,2025-10-12_10:46,5.800068156968929
3,Лагранж,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,1.4498280718395733
3,Лагранж,hamburg-elbe-alex,Hamburg_Segeln,1.2494157013118339
3,Лагранж,hamburg-elbe-richard,Hamburg_Segeln,2.6419743263376194
3,Лагранж,hamburg-elbe-track2,Hamburg_Sailing,4.7032855711193955
3,Лагранж,hamburg-elbe-track3,Hamburg_Segeln,2.2336848042148696
3,Лагранж,ottawa-2016-05-25,0,7.619645650599093
3,Лагранж,ottawa-2016-06-05,0,181.50902567946966
3,Лагранж,ottawa-2016-08-24,0,5.722435236825992
